ano,c1,c2,c3,c4,c5,total,totalMH
1900,0,1,1,1,0,3,2
1901,5,1,0,0,0,6,0
1902,1,2,0,0,0,3,0
1903,3,3,1,0,0,7,1
1904,4,0,0,0,0,4,0
1905,0,0,1,0,0,1,1
1906,2,1,2,1,0,6,3
1907,0,0,0,0,0,0,0
1908,2,3,1,0,0,6,1
1909,0,2,4,0,0,6,4
1910,0,2,0,1,0,3,1
1911,1,2,0,0,0,3,0
1912,2,1,1,0,0,4,1
1913,4,0,0,0,0,4,0
1914,0,0,0,0,0,0,0
1915,1,1,1,2,0,5,3
1916,2,3,4,1,0,10,5
1917,0,0,1,1,0,2,2
1918,1,2,1,0,0,4,1
1919,0,1,0,1,0,2,1
1920,2,2,0,0,0,4,0
1921,4,0,1,1,0,6,2
1922,1,1,1,0,0,3,1
1923,2,1,1,0,0,4,1
1924,3,1,1,0,1,6,2
1925,2,0,0,0,0,2,0
1926,0,2,2,4,0,8,6
1927,2,1,1,0,0,4,1
1928,2,1,0,0,1,4,1
1929,2,0,0,1,0,3,1
1930,0,0,1,1,0,2,2
1931,1,1,0,1,0,3,1
1932,2,1,0,2,2,7,4
1933,4,2,1,3,2,12,6
1934,3,3,1,0,0,7,1
1935,1,1,0,2,1,5,3
1936,3,3,1,0,0,7,1
1937,2,2,1,0,0,5,1
1938,1,1,1,0,1,4,2
1939,2,0,0,1,0,3,1
1940,2,5,0,0,0,7,0
1941,1,0,2,1,0,4,3
1942,1,2,1,0,0,4,1
1943,0,3,1,1,0,5,2
1944,4,1,1,2,0,8,3
1945,1,2,1,1,0,5,2
1946,2,2,0,0,0,4,0
1947,1,2,1,1,0,5,2
1948,2,0,2,2,0,6,4
1949,4,2,1,1,0,8,2
1950,1,4,3,3,0,11,6
1951,4,1,1,2,0,8,3
1952,0,3,1,1,0,5,2
1953,4,0,2,0,1,7,3
1954,1,2,2,1,0,6,3
1955,2,4,1,2,1,10,4
1956,2,1,1,0,0,4,1
1957,2,0,1,1,0,4,2
1958,1,3,0,3,0,7,3
1959,5,0,1,1,0,7,2
1960,2,0,1,1,0,4,2
1961,1,0,3,2,2,8,7
1962,0,2,1,0,0,3,1
1963,2,3,1,1,0,7,2
1964,0,0,2,4,0,6,6
1965,2,1,0,1,0,4,1
1966,4,0,2,1,0,7,3
1967,4,1,0,0,1,6,1
1968,5,0,0,0,0,5,0
1969,5,2,4,0,1,12,5
1970,2,1,2,0,0,5,2
1971,4,1,0,0,1,6,1
1972,2,1,0,0,0,3,0
1973,3,0,1,0,0,4,1
1974,1,1,1,1,0,4,2
1975,1,2,2,1,0,6,3
1976,2,2,2,0,0,6,2
1977,4,0,0,0,1,5,1
1978,2,1,0,2,0,5,2
1979,3,1,0,1,1,6,2
1980,4,3,1,0,1,9,2
1981,3,1,2,1,0,7,3
1982,1,0,0,1,0,2,1
1983,2,0,1,0,0,3,1
1984,3,1,0,1,0,5,1
1985,4,0,2,1,0,7,3
1986,3,1,0,0,0,4,0
1987,2,0,1,0,0,3,1
1988,3,0,0,2,1,6,3
1989,3,2,0,1,1,7,2
1990,5,2,1,0,0,8,1
1991,1,1,1,1,0,4,2
1992,1,2,0,0,1,4,1
1993,2,1,1,0,0,4,1
1994,2,1,0,0,0,3,0
1995,3,3,2,3,0,11,5
1996,3,0,4,2,0,9,6
1997,2,0,1,0,0,3,1
1998,3,4,1,1,1,10,3
1999,0,3,0,5,0,8,5
2000,4,1,1,2,0,8,3
2001,4,1,2,2,0,9,4
2002,1,1,1,1,0,4,2
2003,3,1,1,1,1,7,3
2004,2,1,2,3,1,9,6
2005,7,1,2,1,4,15,7
2006,3,0,2,0,0,5,2
2007,5,0,0,0,2,7,2
2008,3,1,1,4,0,9,5
2009,0,1,1,1,0,3,2
2010,3,4,1,4,0,12,5
2011,3,0,2,2,0,7,4
2012,5,3,2,0,0,10,2
2013,2,0,0,0,0,2,0
2014,3,1,1,1,0,6,2
2015,2,0,1,1,0,4,2
2016,3,0,2,1,1,7,4
2017,2,2,2,2,2,10,6