candidato,mes,porcentaje,min,max
obrador,noviembre,36.2,33.1,39.4
obrador,diciembre,37.4,32.6,42.1
obrador,enero,36.1,33.3,38.8
obrador,febrero,37.9,34.9,40.8
obrador,marzo,42.6,39.2,45.9
obrador,abril,42.7,40.4,45.0
obrador,mayo,45.1,42.5,47.8
anaya,noviembre,24.6,21.8,27.3
anaya,diciembre,24.9,20.8,29.1
anaya,enero,27.5,25.0,30.1
anaya,febrero,29.3,26.6,32.1
anaya,marzo,28.5,25.6,31.4
anaya,abril,28.8,26.7,30.8
anaya,mayo,30.5,28.1,33.0
meade,noviembre,23.6,20.9,26.4
meade,diciembre,23.7,19.6,27.9
meade,enero,25.3,22.9,27.7
meade,febrero,23.3,21.0,25.7
meade,marzo,22.8,20.2,25.2
meade,abril,21.0,19.4,22.7
meade,mayo,18.1,16.4,19.9
calderon,noviembre,3.9,2.8,5.2
calderon,diciembre,4.0,2.6,6.0
calderon,enero,3.1,2.1,4.1
calderon,febrero,2.8,2.0,3.6
calderon,marzo,2.9,2.1,3.8
calderon,abril,2.6,2.0,3.2
calderon,mayo,2.3,1.8,2.8